IsActive,SearchTags,ProductName,ProductSubTitle,TextAbovePrice,PriceText,TextBelowPrice,DiscountLine,PriceBackground,MainImage,OfferStart,OfferEnd,AccumulationStart,AccumulationEnd,AdditionalInfo,IsBarcodeVisible,BrandImage,LifestylePriceText,OfferInternalId,IsPersonal,HybrisCategories,MaxCouponUses,CampaignDescription,CreditCampaignType,CreditTarget,IsDisplay,CreditCampaignCatagory,OnlinePurchaseUrl,OnlinePurchaseText,OnlinePurchaseDelivery,MobileBarcode,WebBarcode,RewardAmount
True,"דרמוקוסמטיקה, טיפוח פנים, לה רוש-פוזה",,,,מתנה,,False,2,https://superpharmstorage.blob.core.windows.net/hybris/offers/desktop/1683221.jpg,03/01/2021 00:00:00,04/16/2021 23:59:59,02/04/2021 00:00:00,04/02/2021 00:00:00,"בתוקף עד 01.04.2021 או עד גמר המלאי, המוקדם מביניהם. אין כפל הטבות. מוגבל למימוש קופון אחד ללקוח. תיתכן שונות במחירי המוצר לפני הנחה בין חנויות הרשת ולפיכך, מחיר לפני הנחה יוצג על המוצר/בסמוך לו.  ",False,,,1691956,False,,1,LS מימוש צבירה מחלקת טבע‏‏ 10+1 ,0,10,True,,,,,9800000689912,,1
True,"תינוק-אביזרים, אביזרי האכלה, לייף בייביז",,,,20%,הנחה,False,1,https://superpharmstorage.blob.core.windows.net/hybris/offers/desktop/1680814.jpg,03/01/2021 00:00:00,04/16/2021 23:59:59,02/04/2021 00:00:00,04/02/2021 00:00:00,"בתוקף עד 01.04.2021 או עד גמר המלאי, המוקדם מביניהם. אין כפל הטבות. מוגבל למימוש קופון אחד ללקוח. תיתכן שונות במחירי המוצר לפני הנחה בין חנויות הרשת ולפיכך, מחיר לפני הנחה יוצג על המוצר/בסמוך לו.  ",False,,,1691979,False,,1000,צבירה מותג לייף‏‏ 20% ,1,0,True,,,,,9800000689936,,20
True,"צעצועים, צעצועים, צעצועים, מתנות מבצעים",,,,10%,הנחה,False,2,https://superpharmstorage.blob.core.windows.net/hybris/offers/desktop/1683845.jpg,03/01/2021 00:00:00,04/16/2021 23:59:59,02/04/2021 00:00:00,04/02/2021 00:00:00,"בתוקף עד 01.04.2021 או עד גמר המלאי, המוקדם מביניהם. אין כפל הטבות. מוגבל למימוש קופון אחד ללקוח. תיתכן שונות במחירי המוצר לפני הנחה בין חנויות הרשת ולפיכך, מחיר לפני הנחה יוצג על המוצר/בסמוך לו.  ",False,,,1691968,False,,1000,LS מימוש צבירה מחלקת תינוקות‏‏ 10% ,1,0,True,,,,,9800000689929,,10
